Model_Year,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range,Avg_MSRP,Avg_Vehicle_Age,YoY_Growth_%
1997,1,1,1,39.0,39.0,0.0,27.0,
1998,1,1,1,58.0,58.0,0.0,26.0,0.0
1999,4,1,1,74.0,74.0,0.0,25.0,300.0
2000,8,1,1,58.0,58.0,0.0,24.0,100.0
2002,2,1,1,95.0,95.0,0.0,22.0,-75.0
2003,1,1,1,95.0,95.0,0.0,21.0,-50.0
2008,19,1,1,220.0,220.0,98950.0,16.0,1800.0
2010,24,2,2,226.875,245.0,101205.625,14.0,26.315789473684205
2011,796,5,5,70.85175879396985,73.0,958.5427135678392,13.0,3216.6666666666665
2012,1633,8,9,62.186160440906306,35.0,5977.097366809553,12.0,105.15075376884423
2013,4566,7,10,80.31822163819535,75.0,11849.014454664915,11.0,179.60808328230252
2014,3613,13,18,81.17270965956268,72.0,12904.317741489067,10.0,-20.87166009636443
2015,4934,12,19,98.06019456830158,84.0,171.2606404539927,9.0,36.56241350678107
2016,5650,16,27,101.65185840707964,84.0,2333.637168141593,8.0,14.511552492906365
2017,8574,18,32,111.91660835082808,93.0,1159.2704688593421,7.0,51.752212389380524
2018,14441,20,35,156.08787480091405,215.0,2503.65210165501,6.0,68.42780499183579
2019,10717,21,35,176.81431370719417,220.0,1894.666884389288,5.0,-25.787687833252548
2020,11294,19,37,240.41092615548078,266.0,136.43527536745174,4.0,5.383969394420074
2021,18684,22,44,10.812941554271035,0.0,0.0,3.0,65.43297326013813
2022,27799,24,60,4.470448577286953,0.0,0.0,2.0,48.78505673303361
2023,37079,27,73,4.479408829795841,0.0,0.0,1.0,33.38249577322925
2024,642,12,15,17.68380062305296,21.0,0.0,0.0,-98.26856171957172
